section,round,best_of,team1,team2,team1_url,team2_url,team1_players,team2_players
Playoffs,Unknown,7,2 Danes 1 Bruv,Gentle Mates Alpine,/https://liquidpedia.net/rocketleague2_Danes_1_Bruv,/https://liquidpedia.net/rocketleagueGentle_Mates_Alpine,[],[]
Playoffs,Unknown,7,Ninjas in Pyjamas,Team BDS,/https://liquidpedia.net/rocketleagueNinjas_in_Pyjamas,/https://liquidpedia.net/rocketleagueTeam_BDS,[],[]
Playoffs,Unknown,7,Team BSK,Sick!,/https://liquidpedia.net/rocketleagueTeam_BSK,/https://liquidpedia.net/rocketleagueSick!,[],[]
Playoffs,Unknown,7,2 Danes 1 Bruv,Team BSK,/https://liquidpedia.net/rocketleague2_Danes_1_Bruv,/https://liquidpedia.net/rocketleagueTeam_BSK,[],[]
Playoffs,Unknown,7,Team BDS,2 Danes 1 Bruv,/https://liquidpedia.net/rocketleagueTeam_BDS,/https://liquidpedia.net/rocketleague2_Danes_1_Bruv,[],[]
Playoffs,Unknown,7,Hogan Mode,Tokyo Tigers,/https://liquidpedia.net/rocketleagueHogan_Mode,/https://liquidpedia.net/rocketleagueTokyo_Tigers,[],[]
Playoffs,Unknown,7,Ninjas in Pyjamas,Hogan Mode,/https://liquidpedia.net/rocketleagueNinjas_in_Pyjamas,/https://liquidpedia.net/rocketleagueHogan_Mode,[],[]
Playoffs,Unknown,7,Gentle Mates Alpine,Ninjas in Pyjamas,/https://liquidpedia.net/rocketleagueGentle_Mates_Alpine,/https://liquidpedia.net/rocketleagueNinjas_in_Pyjamas,[],[]
Playoffs,Unknown,7,Team BDS,Ninjas in Pyjamas,/https://liquidpedia.net/rocketleagueTeam_BDS,/https://liquidpedia.net/rocketleagueNinjas_in_Pyjamas,[],[]
